cmte_id,amndt_ind,rpt_tp,transaction_pgi,image_num,transaction_tp,entity_tp,name,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,other_id,cand_id,tran_id,file_num,memo_cd,memo_text,sub_id
C00448696,N,M2,P2024,202102199428655900,24E,ORG,TMA DIRECT,RESTON,VA,201905952,NA,NA,NA,48081,S8MO00160,S8MO00160,E51E879942FDC4CD39E8,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,NA,51500,S8MO00160,S8MO00160,EEA33A6E7131643D5BD2,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,NA,51500,S8MO00160,S8MO00160,E4C4F982122044C9B856,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,12703,S8MO00160,S8MO00160,ED429BE22576B420CB2F,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,609,S8MO00160,S8MO00160,E984F19FC7EB9456094F,1501126,NA,NA,4022320211164077e3
C00748582,N,M2,P2024,2.0210220942879798e+17,24A,ORG,JHCH VENTURES,CHICAGO,IL,60614,NA,NA,NA,1500,S8MO00160,S8MO00160,SE.117380,1501613,NA,NA,4030220211190384600
C00748582,N,M2,P2024,2.0210220942879802e+17,24A,ORG,SIGNAL ROCK,PORTLAND,OR,97213,NA,NA,NA,875,S8MO00160,S8MO00160,SE.117328,1501613,NA,NA,4030220211190384600
C00748582,N,M2,P2024,2.0210220942879798e+17,24A,IND,"JOHNSON, WES",LOS ANGELES,CA,90068,NA,NA,NA,44,S8MO00160,S8MO00160,SE.117409,1501613,NA,NA,4030220211190384600
C00748582,N,M2,P2024,2.0210220942879798e+17,24A,IND,"JOHNSON, WES",LOS ANGELES,CA,90068,NA,NA,NA,100,S8MO00160,S8MO00160,SE.117330,1501613,NA,NA,4030220211190384600
C00748582,N,M2,P2024,2.0210220942879798e+17,24A,ORG,SIGNAL ROCK,PORTLAND,OR,97213,NA,NA,NA,450,S8MO00160,S8MO00160,SE.117420,1501613,NA,NA,4030220211190384600
C00748582,N,M2,P2024,2.0210220942879798e+17,24A,IND,"ELLIKER, SHARI",ALEXANDRIA,VA,22314,NA,NA,NA,40,S8MO00160,S8MO00160,SE.117369,1501613,NA,NA,4030220211190384600
C00748582,N,M2,P2024,2.0210220942879798e+17,24A,ORG,JHCH VENTURES,CHICAGO,IL,60614,NA,NA,NA,875,S8MO00160,S8MO00160,SE.117389,1501613,NA,NA,4030220211190384600
C00448696,N,M3,P2024,202103199441656540,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,921,S8MO00160,S8MO00160,E28FDF02384EF4859BC2,1505436,NA,NA,4032020211261910500
C00448696,N,M3,P2024,202103199441656540,24E,ORG,TMA DIRECT,RESTON,VA,201905952,NA,NA,NA,26007,S8MO00160,S8MO00160,EAD84D02B519243C785D,1505436,NA,NA,4032020211261910500
C00448696,N,M3,P2024,202103199441656540,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,236,S8MO00160,S8MO00160,EA3A13C51411A43678DA,1505436,NA,NA,4032020211261910500
C00448696,N,M3,P2024,202103199441656500,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,4075,S8MO00160,S8MO00160,E8F0613F9FD784E298E1,1505436,NA,NA,4032020211261910500
C00448696,N,M3,P2024,202103199441656500,24E,ORG,REGNERY PUBLISHING,ARLINGTON,VA,222092016,NA,NA,NA,64750,S8MO00160,S8MO00160,E118CC93B9842467B998,1505436,NA,NA,4032020211261910500
C00448696,N,M3,P2024,202103199441656540,24E,ORG,CONSERVATIVE CONNECTOR LLC,GREENWOOD,IN,461431464,NA,NA,NA,51750,S8MO00160,S8MO00160,EBB7659031A0546218E8,1505436,NA,NA,4032020211261910500
C00448696,N,M3,P2024,202103199441656540,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,2686,S8MO00160,S8MO00160,EAE56BEF1C2AC4AD2893,1505436,NA,NA,4032020211261910500
C00524181,N,M4,P2024,202104209444017800,24E,ORG,CONNELL DONATELLI,ALEXANDRIA,VA,223143109,NA,NA,NA,3333,S8MO00160,S8MO00160,E7535E5CDE6934ABD8A7,1513819,NA,NA,4042820211279267300
C00448696,N,M4,P2024,202104209444018100,24E,ORG,TMA DIRECT,RESTON,VA,201905952,NA,NA,NA,8583,S8MO00160,S8MO00160,E50F30A8491764D148E5,1513820,NA,NA,404252021127905e4
C00448696,N,M4,P2024,202104209444018100,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,151,S8MO00160,S8MO00160,EEEC4C12B0E8E4C0B871,1513820,NA,NA,404252021127905e4
C00448696,N,M4,P2024,202104209444018100,24E,ORG,CONSERVATIVE CONNECTOR LLC,GREENWOOD,IN,461431464,NA,NA,NA,17250,S8MO00160,S8MO00160,E19F892B111204A59A21,1513820,NA,NA,404252021127905e4
C00448696,N,M4,P2024,202104209444018100,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,267,S8MO00160,S8MO00160,EF8B86CF5F5E94EBBBC2,1513820,NA,NA,404252021127905e4
C00448696,N,M4,P2024,202104209444018100,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,0,S8MO00160,S8MO00160,E5641D35197264E58935,1513820,NA,NA,404252021127905e4
C00448696,N,M4,P2024,202104209444018100,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,NA,30900,S8MO00160,S8MO00160,ECA321B8188A24D00ADE,1513820,NA,NA,404252021127905e4
C00448696,N,M4,P2024,202104209444018100,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,98,S8MO00160,S8MO00160,E9F3A3B076A4B4550864,1513820,NA,NA,404252021127905e4
C00448696,N,M4,P2024,202104209444018100,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,194,S8MO00160,S8MO00160,EA81798DFBB1E44F7AEA,1513820,NA,NA,404252021127905e4
C00573261,A,M3,P2024,202105079446366530,24A,ORG,TATANGO,SEATTLE,WA,981213622,NA,NA,NA,1412,S8MO00160,S8MO00160,500096815,1515471,NA,NA,4050920211292749e3
C00448696,N,M6,P2024,202106189449637860,24E,ORG,AMERICAN CAGING INC.,STAFFORD,TX,774774121,NA,NA,NA,5528,S8MO00160,S8MO00160,EEF4F3239493F40B09E3,1520949,NA,NA,4062320211309662e3
C00448696,N,M6,P2024,202106189449637860,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,7,S8MO00160,S8MO00160,E8D702ED850304A4EA46,1520949,NA,NA,4062320211309662e3
C00448696,N,M6,P2024,202106189449637860,24E,ORG,ALLEGIANCE DIRECT LLC,PURCELLVILLE,VA,201323320,NA,NA,NA,25570,S8MO00160,S8MO00160,E94F305E14D764DE3B8B,1520949,NA,NA,4062320211309662e3
C00448696,N,M6,P2024,202106189449637860,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,378,S8MO00160,S8MO00160,ECBB24FEC258B4399B0A,1520949,NA,NA,4062320211309662e3
C00448696,N,M6,P2024,202106189449637860,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,6,S8MO00160,S8MO00160,E1B6C59E0FD9E447BA94,1520949,NA,NA,4062320211309662e3
C00448696,N,M6,P2024,202106189449637860,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,1,S8MO00160,S8MO00160,E27B1AF6AFB0D4BD19C6,1520949,NA,NA,4062320211309662e3
C00448696,N,M6,P2024,202106189449637860,24E,ORG,REGNERY PUBLISHING,ARLINGTON,VA,222092016,NA,NA,NA,64750,S8MO00160,S8MO00160,E795DB819B63A4070ACA,1520949,X,NA,4062320211309662e3
C00748582,N,M5,P2024,202105209447366270,24A,ORG,JHCH VENTURES,CHICAGO,IL,60614,NA,NA,NA,4000,S8MO00160,S8MO00160,SE.134042,1517715,NA,NA,4052520211297187300
C00748582,N,M6,P2024,202106209449812100,24A,IND,"ELLIKER, SHARI",ALEXANDRIA,VA,22314,NA,NA,NA,200,S8MO00160,S8MO00160,SE.137054,1521248,NA,NA,4062220211309558e3
C00748582,N,M6,P2024,202106209449812100,24A,ORG,JHCH VENTURES,CHICAGO,IL,60614,NA,NA,NA,687,S8MO00160,S8MO00160,SE.137059,1521248,NA,NA,4062220211309558e3
C00448696,N,M5,P2024,202105209447072260,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,NA,10300,S8MO00160,S8MO00160,EA17DA046FCFD48FDBDA,1517496,NA,NA,4052220211297026e3
C00448696,N,M5,P2024,202105209447072260,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,8,S8MO00160,S8MO00160,EC59F84910D2D4901AC1,1517496,NA,NA,4052220211297026e3
C00448696,N,M5,P2024,202105209447072260,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,12,S8MO00160,S8MO00160,ECCEE97CD104C425DBA4,1517496,NA,NA,4052220211297026e3
C00448696,N,M5,P2024,202105209447072260,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,1,S8MO00160,S8MO00160,E55F92B99E3F54644A2D,1517496,NA,NA,4052220211297026e3
C00448696,N,M5,P2024,202105209447072300,24E,ORG,ENVISION PRINTERS/MARKETING,LEESBURG,VA,20176,NA,NA,NA,32514,S8MO00160,S8MO00160,EB0F9FCDF7B4D4067B68,1517496,NA,NA,4052220211297026e3
C00448696,N,M5,P2024,202105209447072300,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,1,S8MO00160,S8MO00160,EADFB0AC3C4AA45EF900,1517496,NA,NA,4052220211297026e3
C00749143,N,MY,P2022,202107319465442720,24A,ORG,FACEBOOK CORPORATION,MENLO PARK,CA,94025,NA,NA,NA,1,S8MO00160,S8MO00160,24-01-00432-00546,1533169,NA,NA,408032021132445e4
C00749143,N,MY,P2022,202107319465442700,24A,ORG,"MIDDLE SEAT CONSULTING, LLC",WASHINGTON,DC,20009,NA,NA,NA,661,S8MO00160,S8MO00160,24-01-00288-00417,1533169,NA,NA,408032021132445e4
C00749143,N,MY,P2022,202107319465442700,24A,IND,"ERWIN, MAXWELL A.",PORTLAND,ME,04101,NA,NA,NA,83,S8MO00160,S8MO00160,24-01-00287-00423,1533169,NA,NA,408032021132445e4
C00749143,N,MY,P2022,202107319465442720,24A,ORG,FACEBOOK CORPORATION,MENLO PARK,CA,94025,NA,NA,NA,25,S8MO00160,S8MO00160,24-01-00408-00532,1533169,NA,NA,408032021132445e4
C00749143,N,MY,P2022,202107319465442720,24A,ORG,FACEBOOK CORPORATION,MENLO PARK,CA,94025,NA,NA,NA,53,S8MO00160,S8MO00160,24-01-00423-00541,1533169,NA,NA,408032021132445e4
C00663211,N,MY,P2022,202107289452140740,24A,ORG,MATRIX MEDIA SERVICES,COLUMBUS,OH,432154706,NA,NA,NA,1929,S8MO00160,S8MO00160,500089437,1531227,NA,NA,4072920211323309e3
C00725820,A,MY,P2024,202110159467703500,24A,ORG,ZELDAVISION MEDIA INC,BROOKLYN,NY,112385877,NA,NA,NA,250,S8MO00160,S8MO00160,500094013,1544197,NA,NA,4101920211374018e3
C00448696,N,M10,P2024,202110209468156350,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,8,S8MO00160,S8MO00160,E631EDCF5DD1A4CC29BF,1546020,NA,NA,4102320211375296e3
C00448696,N,M10,P2024,202110209468156350,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,0,S8MO00160,S8MO00160,E0684F4993DC5431B8DC,1546020,NA,NA,4102320211375296e3
C00448696,N,M10,P2024,202110209468156350,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,15,S8MO00160,S8MO00160,E499D39FCB90C4CA097A,1546020,NA,NA,4102320211375296e3
C00448696,N,M10,P2024,202110209468156350,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,18,S8MO00160,S8MO00160,E1035980196EC42E3BB4,1546020,NA,NA,4102320211375296e3
C00748582,N,M7,P2024,202107209451841860,24A,ORG,BLUE WAVE COMMUNICATIONS LLC,CHICAGO,IL,60622,NA,NA,NA,9000,S8MO00160,S8MO00160,SE.137066,1529281,NA,NA,4072320211322462700
C00448696,N,M7,P2024,2.0210720945184442e+17,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,103,S8MO00160,S8MO00160,E9A6EDE1212A14025996,1529307,NA,NA,4072720211322946e3
C00448696,N,M7,P2024,2.0210720945184442e+17,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,30,S8MO00160,S8MO00160,EE3A4CFE42B224C5B824,1529307,NA,NA,4072720211322946e3
C00448696,N,M7,P2024,2.0210720945184438e+17,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,33,S8MO00160,S8MO00160,E5ED4BD01BD42407A94D,1529307,NA,NA,4072720211322946e3
C00448696,N,M7,P2024,2.0210720945184438e+17,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,18,S8MO00160,S8MO00160,EA581234007F14CEF8D8,1529307,NA,NA,4072720211322946e3
C00448696,N,M7,P2024,2.0210720945184442e+17,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,13,S8MO00160,S8MO00160,E68E2172A8C1B4F90990,1529307,NA,NA,4072720211322946e3
C00748582,N,M8,P2024,2.0210819946635958e+17,24A,ORG,BLUE WAVE COMMUNICATIONS LLC,CHICAGO,IL,60622,NA,NA,NA,714,S8MO00160,S8MO00160,SE.140840,1535599,NA,NA,4082120211329868300
C00748582,N,M8,P2024,2.0210819946635958e+17,24A,ORG,RAW STORY MEDIA,WASHINGTON,DC,20009,NA,NA,NA,357,S8MO00160,S8MO00160,SE.140820,1535599,NA,NA,4082120211329868300
C00448696,N,M8,P2024,202108209466453760,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,3,S8MO00160,S8MO00160,E161640A492E243F383D,1535952,NA,NA,4.0823202113437123e+18
C00448696,N,M8,P2024,202108209466453760,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,81,S8MO00160,S8MO00160,ED46D50CF135441D9987,1535952,NA,NA,4.0823202113437123e+18
C00448696,N,M8,P2024,202108209466453760,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,38,S8MO00160,S8MO00160,E4B9F0CA8A6FA4615818,1535952,NA,NA,4.0823202113437123e+18
C00448696,N,M9,P2024,202109209466865380,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,6,S8MO00160,S8MO00160,E42209C49D8714D21A43,1539145,NA,NA,4092220211371633700
C00448696,N,M9,P2024,202109209466865380,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,24,S8MO00160,S8MO00160,EFF6FE1D9E36748AEAA7,1539145,NA,NA,4092220211371633700
C00448696,N,M9,P2024,202109209466865380,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,160,S8MO00160,S8MO00160,EA524B5DE59214DA8A01,1539145,NA,NA,4092220211371633700
C00746073,A,30R,P2024,202202249493706080,24A,ORG,ALLORA INDUSTRIES LLC,EAST ISLIP,NY,117302912,NA,NA,NA,27640,S8MO00160,S8MO00160,500006266,1571747,NA,NA,4030320221454556700
C00746073,A,YE,P2022,202202249493709020,24A,ORG,PRESTIGE WW INC.,WOODBRIDGE,VA,221922635,NA,NA,NA,5000,S8MO00160,S8MO00160,500010372,1571760,NA,NA,4030320221454556700
C00432260,A,YE,P2022,2.0220218949177958e+17,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,22,H2MO07143,H2MO07143,SE.19259,1570195,NA,NA,4030420221459558e3
C00432260,A,YE,P2022,202202189491779550,24E,ORG,BIG EYE DIRECT,OAK HILL,VA,20171,NA,NA,NA,1725,H2MO07143,H2MO07143,SE.19255,1570195,NA,NA,4030420221459558e3
C00432260,A,YE,P2022,202202189491779550,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,164,H2MO07143,H2MO07143,SE.19257,1570195,NA,NA,4030420221459558e3
C00432260,A,YE,P2022,2.0220218949177958e+17,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,34,H2MO07143,H2MO07143,SE.19258,1570195,NA,NA,4030420221459558e3
C00432260,A,YE,P2022,2.0220218949177958e+17,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,34,H2MO07143,H2MO07143,SE.19260,1570195,NA,NA,4030420221459558e3
C00432260,A,YE,P2022,2.0220218949177958e+17,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,152,H2MO07143,H2MO07143,SE.19256,1570195,NA,NA,4030420221459558e3
C00448696,A,M12,P2024,202203219495795070,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,12,S8MO00160,S8MO00160,E6A5326C378394207A86,1576028,NA,NA,4032420221464159e3
C00448696,A,M12,P2024,202203219495795070,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,8,S8MO00160,S8MO00160,E0AFC54DC7F3249679ED,1576028,NA,NA,4032420221464159e3
C00448696,A,M12,P2024,202203219495795070,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,8,S8MO00160,S8MO00160,E5744D8A37FE44B6B8B2,1576028,NA,NA,4032420221464159e3
C00448696,A,YE,P2024,202203219495795970,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,1,S8MO00160,S8MO00160,EF0A99357A8634EF0927,1576034,NA,NA,4032420221464159e3
C00448696,A,YE,P2024,202203219495795970,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,1,S8MO00160,S8MO00160,E79B09274B72E40F1A83,1576034,NA,NA,4032420221464159e3
C00448696,A,YE,P2024,202203219495795970,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,15,S8MO00160,S8MO00160,ECE084D4C5FB74F9F97C,1576034,NA,NA,4032420221464159e3
C00448696,A,YE,P2024,202203219495795970,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,1,S8MO00160,S8MO00160,EED3D75C62C334C78B35,1576034,NA,NA,4032420221464159e3
C00749424,A,Q3,G2024,202206159514911400,24A,ORG,CATALYST MEDIA,SANTA MONICA,CA,90405,NA,NA,NA,3100,S8MO00160,S8MO00160,SE.4423,1602306,NA,NA,4061720221530342e3
C00748582,N,M11,P2022,202111209468825630,24A,ORG,BLUE WAVE COMMUNICATIONS LLC,CHICAGO,IL,60622,NA,NA,NA,5000,S2MO00585,S2MO00585,SE.150947,1549680,NA,NA,4112720211379968e3
C00489799,A,M7,G2020,202111189468580860,24E,ORG,ANALYTICS NINJA,LINCOLN,NE,685025223,NA,NA,NA,8,H4MO05234,H4MO05234,VV0P99HJ309,1548891,NA,NA,4112220211379046e3
C00489799,A,M7,G2020,202111189468580960,24A,ORG,ANALYTICS NINJA,LINCOLN,NE,685025223,NA,NA,NA,8,H2MO02102,H2MO02102,VV0P99HJ936,1548891,NA,NA,4112220211379046400
C00432260,A,M11,P2022,202112179469901700,24E,ORG,BIG EYE DIRECT,OAK HILL,VA,20171,NA,NA,NA,14628,H2MO07143,H2MO07143,SE.15228,1552301,NA,NA,4122120211386311700
C00432260,A,M11,P2022,202112179469901700,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,50,H2MO07143,H2MO07143,SE.15235,1552301,NA,NA,4122120211386311700
C00432260,A,M11,P2022,202112179469901700,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,1327,H2MO07143,H2MO07143,SE.15236,1552301,NA,NA,4122120211386311700
C00432260,A,M10,P2022,202111199468635940,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,42,H2MO07143,H2MO07143,SE.15233,1549277,NA,NA,4112620211379934e3
C00432260,A,M10,P2022,202111199468635900,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,189,H2MO07143,H2MO07143,SE.15229,1549277,NA,NA,4112620211379934e3
C00432260,A,M10,P2022,202111199468635900,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,56,H2MO07143,H2MO07143,SE.15230,1549277,NA,NA,4112620211379934e3
C00432260,A,M10,P2022,202111199468635900,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,56,H2MO07143,H2MO07143,SE.15231,1549277,NA,NA,4112620211379934e3
C00432260,A,M10,P2022,202111199468635900,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,324,H2MO07143,H2MO07143,SE.15232,1549277,NA,NA,4112620211379934e3
C00432260,A,M10,P2022,202111199468635940,24E,ORG,CLUB FOR GROWTH,WASHINGTON,DC,20036,NA,NA,NA,41,H2MO07143,H2MO07143,SE.15234,1549277,NA,NA,4112620211379934e3
C00552851,N,M11,P2022,202111199468721060,24E,PAC,HOUSE FREEDOM FUND,WASHINGTON,DC,200031021,NA,NA,NA,108,H2MO07143,H2MO07143,E41966F6191D5437180D,1549485,NA,NA,4112320211379144700
C00552851,N,M11,P2022,202111199468721060,24E,ORG,ENVISION MARKETING,LYNCHBURG,VA,245024202,NA,NA,NA,16559,H2MO07143,H2MO07143,E0180711A8900438DB94,1549485,NA,NA,4112320211379144700
C00552851,N,M11,P2022,202111199468721100,24E,PAC,HOUSE FREEDOM FUND,WASHINGTON,DC,200031021,NA,NA,NA,7,H2MO07143,H2MO07143,E07ADDD4E2DEE457BA69,1549485,NA,NA,4112320211379144700
C00552851,N,M11,P2022,202111199468721100,24E,PAC,HOUSE FREEDOM FUND,WASHINGTON,DC,200031021,NA,NA,NA,2,H2MO07143,H2MO07143,E14AA11E968554BF3B6B,1549485,NA,NA,4112320211379144700
C00552851,N,M11,P2022,202111199468721100,24E,PAC,HOUSE FREEDOM FUND,WASHINGTON,DC,200031021,NA,NA,NA,14,H2MO07143,H2MO07143,E4CF3FE2C8CFB425B8A2,1549485,NA,NA,4112320211379144700
C00448696,N,M11,P2024,202111199468717920,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,12,S8MO00160,S8MO00160,E4FCF45BFA4484A56AFD,1549478,NA,NA,4112320211379144700
C00448696,N,M11,P2024,202111199468717950,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,2,S8MO00160,S8MO00160,E153DC065334A453A965,1549478,NA,NA,4112320211379144700
C00448696,N,M11,P2024,202111199468717950,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,19,S8MO00160,S8MO00160,E9A969F63E14B4B4BBA0,1549478,NA,NA,4112320211379144700
C00448696,N,M11,P2024,202111199468717950,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,0,S8MO00160,S8MO00160,E9931E17A07DE4DCBA7B,1549478,NA,NA,4112320211379144700
C00687103,N,M12,P2022,202112209474666240,24E,ORG,AMERICANS FOR PROSPERITY,ARLINGTON,VA,22201,NA,NA,NA,647,S2MO00544,S2MO00544,SE24.7758,1552979,NA,NA,4122820211386737e3
C00530766,A,M10,G2022,202111209468898620,24E,ORG,THE MAIL HAUS,DE PERE,WI,54115,NA,NA,NA,39,H2MO02102,H2MO02102,SE.42154,1549810,NA,NA,4112820211379988500
C00530766,A,M10,G2022,202111209468898560,24E,ORG,THE LUKENS COMPANY,ARLINGTON,VA,22206,NA,NA,NA,117,H2MO02102,H2MO02102,SE.42241,1549810,NA,NA,4112820211379988e3
