Vendor,Department,Description,Check #,Check Date,Amount
MISSISSIPPI LIME CO,WATER PRODUCTION,Quicklime as needed for WTP,14525,2022-09-23T00:00:00Z,6988.56
MISSISSIPPI LIME CO,WATER PRODUCTION,Quicklime as needed for WTP,14525,2022-09-23T00:00:00Z,6965.1
MISSISSIPPI LIME CO,WATER PRODUCTION,Quicklime as needed for WTP,14525,2022-09-23T00:00:00Z,6936.43
CURATORS OF THE UNIVERSITY OF MO,PARKS & RECREATION,CUST # 1943,656861,2022-09-23T00:00:00Z,252.09
CURATORS OF THE UNIVERSITY OF MO,CITY MANAGER,CUST # 1941,656861,2022-09-23T00:00:00Z,39.5
AMERENUE,COMMUNITY DEVELOPMENT,500 E WALNUT SUITE 108,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,PUBLIC WORKS FLEET MAINTENANCE,1313 LAKEVIEW AVENUE,656829,2022-09-23T00:00:00Z,46.87
AMERENUE,PUBLIC WORKS FLEET MAINTENANCE,"1403 BUSINESS LOOP 70 W, COSMO",656829,2022-09-23T00:00:00Z,37.31
BOONE ELECTRIC COOPERATIVE,SOLID WASTE,5501 ROGERS ACCT 315886001 MET,656846,2022-09-23T00:00:00Z,32.2
AMERENUE,SOLID WASTE,910 E WALNUT,656829,2022-09-23T00:00:00Z,35.35
BOONE ELECTRIC COOPERATIVE,SEWER,VICTORIA SOUTH ACCT 30934001 M,656846,2022-09-23T00:00:00Z,97.84
BOONE ELECTRIC COOPERATIVE,SEWER,HIGH POINT ACCT 38579001 METER,656846,2022-09-23T00:00:00Z,1821.84
BOONE ELECTRIC COOPERATIVE,SEWER,5555 S GANS ACCT 46373001 METE,656846,2022-09-23T00:00:00Z,322.58
BOONE ELECTRIC COOPERATIVE,SEWER,MONTAUK ACCT 315639001 METER 9,656846,2022-09-23T00:00:00Z,84.15
BOONE ELECTRIC COOPERATIVE,SEWER,WILLIAM SMITH PLACE ACCT 31775,656846,2022-09-23T00:00:00Z,127.23
AMERENUE,PUBLIC WORKS TRANSIT,126 N 10TH,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,PARKS & RECREATION,2001 PARKSIDE DRIVE,656829,2022-09-23T00:00:00Z,59.23
AMERENUE,PARKS & RECREATION,701 E ASH,656829,2022-09-23T00:00:00Z,103.2
AMERENUE,CONVENTION & TOURISM,300 S PROVIDENCE ROAD SUITE 2,656829,2022-09-23T00:00:00Z,34.1
AMERENUE,CONVENTION & TOURISM,300 S PROVIDENCE ROAD,656829,2022-09-23T00:00:00Z,30.33
BOONE ELECTRIC COOPERATIVE,ELECTRIC TRANS & DISTRIB,1304 ROBERT RAY ACCT 317671000,656846,2022-09-23T00:00:00Z,17.74
AMERENUE,ELECTRIC TRANS & DISTRIB,1518 BUSINESS LOOP 70 E SUITE,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,ELECTRIC TRANS & DISTRIB,1524 BUSINESS LOOP 70 E SUITE,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,ELECTRIC TRANS & DISTRIB,1518 BUSINESS LOOP 70 E SUITE,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,ELECTRIC TRANS & DISTRIB,1514 BUSINESS LOOP 70 E,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,ELECTRIC TRANS & DISTRIB,1518 BUSINESS LOOP 70 E SUITE,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,ELECTRIC TRANS & DISTRIB,1514 BUSINESS LOOP 70 E BEHIND,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,ELECTRIC TRANS & DISTRIB,1106 BOWLING,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,ELECTRIC TRANS & DISTRIB,1524 BUSINESS LOOP 70 E SUITE,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,ELECTRIC TRANS & DISTRIB,1204 BOWLING,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,ELECTRIC TRANS & DISTRIB,"facility charge, 161 kv feeder",656830,2022-09-23T00:00:00Z,1646.25
AMERENUE,ELECTRIC PRODUCTION,"1501 BUSINESS LOOP 70 E, EM GA",656829,2022-09-23T00:00:00Z,51.13
AMERENUE,PUBLIC WORKS BUILDING MAINT,1 S 7TH,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,PUBLIC WORKS BUILDING MAINT,600 E BROADWAY,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,PUBLIC WORKS BUILDING MAINT,701 E BROADWAY,656829,2022-09-23T00:00:00Z,925.22
AMERENUE,PUBLIC WORKS BUILDING MAINT,11 N 7TH SIDE B,656829,2022-09-23T00:00:00Z,71.79
BOONE ELECTRIC COOPERATIVE,PUBLIC WORKS,INVOICE GROUP NO 1113,656846,2022-09-23T00:00:00Z,11036.6
BOONE ELECTRIC COOPERATIVE,PUBLIC WORKS,INVOICE GROUP NO 1140,656846,2022-09-23T00:00:00Z,1182.05
AMERENUE,PARKS & RECREATION,1415 BUSINESS LOOP 70 W,656829,2022-09-23T00:00:00Z,36.61
AMERENUE,PARKS & RECREATION,1507 BUSINESS LOOP 70 W,656829,2022-09-23T00:00:00Z,45.4
AMERENUE,HEALTH AND HUMAN SERVICES,1005 W WORLEY,656829,2022-09-23T00:00:00Z,30.33
AMERENUE,WATER TRANS & DISTRIB,1206 BOWLING,656829,2022-09-23T00:00:00Z,98.17
AMERENUE,WATER TRANS & DISTRIB,1512 BUSINESS LOOP 70 E,656829,2022-09-23T00:00:00Z,38.6
BOTTLING GROUP LLC,PARKS & RECREATION,CUST # 9488317,14514,2022-09-23T00:00:00Z,299.52
BOTTLING GROUP LLC,PARKS & RECREATION,CUST # 9476885,14514,2022-09-23T00:00:00Z,230.88
BOTTLING GROUP LLC,PARKS & RECREATION,CUST # 9488317,14514,2022-09-23T00:00:00Z,248.32
BOTTLING GROUP LLC,PARKS & RECREATION,CUST # 9476885,14514,2022-09-23T00:00:00Z,215.28
CFG LLC,ELECTRIC ADMINISTRATION,113 HUBBEL DR,656853,2022-09-23T00:00:00Z,300
CFG LLC,ELECTRIC ADMINISTRATION,1003 MANHATTAN DRIVE,656853,2022-09-23T00:00:00Z,100
CFG LLC,ELECTRIC ADMINISTRATION,2501 SPRINGDALE DR,656853,2022-09-23T00:00:00Z,400
CFG LLC,ELECTRIC ADMINISTRATION,3000 WEST ROLLINS,656853,2022-09-23T00:00:00Z,100
CFG LLC,ELECTRIC ADMINISTRATION,201 HAYWOOD CT,656853,2022-09-23T00:00:00Z,100
SELCON CONSTRUCTION LLC,WATER TRANS & DISTRIB,WORK ORDER MELBOURNE,656929,2022-09-23T00:00:00Z,10285.61
SELCON CONSTRUCTION LLC,ELECTRIC TRANS & DISTRIB,WORK ORDER KIRKDALE DRIVE,656929,2022-09-23T00:00:00Z,6068.57
SELCON CONSTRUCTION LLC,ELECTRIC TRANS & DISTRIB,WORK ORDER 1600 WOODRAIL,656929,2022-09-23T00:00:00Z,11561.93
PEOPLEREADY INC,SOLID WASTE,ACCT # 000852052,14529,2022-09-23T00:00:00Z,3366
PEOPLEREADY INC,SOLID WASTE,ACCT # 000852052,14529,2022-09-23T00:00:00Z,11743.31
PEOPLEREADY INC,SOLID WASTE,ACCT # 000852052,14529,2022-09-23T00:00:00Z,2064.48
PEOPLEREADY INC,SOLID WASTE,ACCT # 000852052,14529,2022-09-23T00:00:00Z,10421.15
NAUSER BEVERAGE COMPANY,PARKS & RECREATION,CUST # 1008,656916,2022-09-23T00:00:00Z,76
NAUSER BEVERAGE COMPANY,PARKS & RECREATION,CUST # 1008,656916,2022-09-23T00:00:00Z,38
NAUSER BEVERAGE COMPANY,PARKS & RECREATION,CUST # 2222,656916,2022-09-23T00:00:00Z,131.7
M & M GOLF CARS LLC,PARKS & RECREATION,GOLF CART PURCHASE - CONTRACT,656887,2022-09-23T00:00:00Z,54870
M & M GOLF CARS LLC,PARKS & RECREATION,GOLF CART REPLACEMENT - CONTRA,656887,2022-09-23T00:00:00Z,58000
NEMOW INSULATION CO,ELECTRIC ADMINISTRATION,110 BOURN AVE,656917,2022-09-23T00:00:00Z,100
NEMOW INSULATION CO,ELECTRIC ADMINISTRATION,4502 BRISTOL CT,656917,2022-09-23T00:00:00Z,100
PIZZA HUT OF SE KANSAS,PARKS & RECREATION,Pizza for ARC Birthday Parties,656919,2022-09-23T00:00:00Z,35
PIZZA HUT OF SE KANSAS,PARKS & RECREATION,Pizza for ARC Birthday Parties,656919,2022-09-23T00:00:00Z,35
PIZZA HUT OF SE KANSAS,PARKS & RECREATION,Pizza for ARC Birthday Parties,656919,2022-09-23T00:00:00Z,42
PIZZA HUT OF SE KANSAS,PARKS & RECREATION,Pizza for ARC Birthday Parties,656919,2022-09-23T00:00:00Z,49
N H SCHEPPERS DISTRIBUTING COMPANY,PARKS & RECREATION,REF INV #450837,14526,2022-09-23T00:00:00Z,-19.6
N H SCHEPPERS DISTRIBUTING COMPANY,PARKS & RECREATION,ACCT # 76800,14526,2022-09-23T00:00:00Z,472.15
N H SCHEPPERS DISTRIBUTING COMPANY,PARKS & RECREATION,ACCT # 76800,14526,2022-09-23T00:00:00Z,364.15
N H SCHEPPERS DISTRIBUTING COMPANY,PARKS & RECREATION,ACCT # 77100,14526,2022-09-23T00:00:00Z,684.55
N H SCHEPPERS DISTRIBUTING COMPANY,PARKS & RECREATION,ACCT # 76800,14526,2022-09-23T00:00:00Z,282.75
N H SCHEPPERS DISTRIBUTING COMPANY,PARKS & RECREATION,ACCT # 77100,14526,2022-09-23T00:00:00Z,240.7
CURATORS OF THE UNIVERSITY OF MO,HEALTH AND HUMAN SERVICES,CUST # 1943,656861,2022-09-23T00:00:00Z,29.5
CURATORS OF THE UNIVERSITY OF MO,HEALTH AND HUMAN SERVICES,CUST # 1943,656861,2022-09-23T00:00:00Z,36.5
CURATORS OF THE UNIVERSITY OF MO,HEALTH AND HUMAN SERVICES,CUST # 1943,656861,2022-09-23T00:00:00Z,171.21
CURATORS OF THE UNIVERSITY OF MO,HEALTH AND HUMAN SERVICES,CUST # 1943,656861,2022-09-23T00:00:00Z,414.11
CURATORS OF THE UNIVERSITY OF MO,HEALTH AND HUMAN SERVICES,CUST # 1943,656861,2022-09-23T00:00:00Z,151.73
CURATORS OF THE UNIVERSITY OF MO,SEWER,CUST # 1943,656861,2022-09-23T00:00:00Z,63.63
CURATORS OF THE UNIVERSITY OF MO,HEALTH AND HUMAN SERVICES,CUST # 12738,656861,2022-09-23T00:00:00Z,3872.8
CURATORS OF THE UNIVERSITY OF MO,HEALTH AND HUMAN SERVICES,CUST # 12738,656861,2022-09-23T00:00:00Z,1936.4
CURATORS OF THE UNIVERSITY OF MO,HEALTH AND HUMAN SERVICES,CUST # 12738,656861,2022-09-23T00:00:00Z,3872.8
THE DIRECTV GROUP INC,PUBLIC WORKS AIRPORT,ACCOUNT NUMBER 003713680,656936,2022-09-23T00:00:00Z,154.99
THE DIRECTV GROUP INC,PARKS & RECREATION,ACCOUNT NUMBER 077321011,656936,2022-09-23T00:00:00Z,221.24
THE DIRECTV GROUP INC,PARKS & RECREATION,ACCOUNT NUMBER 053312866,656936,2022-09-23T00:00:00Z,221.24
DALLAS DOLLENS CUST,POLICE,PETTY CASH - NARCOTICS,656862,2022-09-23T00:00:00Z,521
DALLAS DOLLENS CUST,POLICE,PETTY CASH - NARCOTICS,656862,2022-09-23T00:00:00Z,53.99
DALLAS DOLLENS CUST,POLICE,PETTY CASH - NARCOTICS,656862,2022-09-23T00:00:00Z,464.51
DALLAS DOLLENS CUST,POLICE,PETTY CASH - NARCOTICS,656862,2022-09-23T00:00:00Z,2319.49
AMERICAN TRUCK REPAIR LLC,PUBLIC WORKS FLEET MAINTENANCE,TOW TO C AND G STATION,656832,2022-09-23T00:00:00Z,130
AMERICAN TRUCK REPAIR LLC,PUBLIC WORKS FLEET MAINTENANCE,TOW TO 1722 SOUTHRIDGE DRIVE,656832,2022-09-23T00:00:00Z,478
"AIRGAS, INC",FIRE,CUSTOMER NUMBER 1849124,14510,2022-09-23T00:00:00Z,21.56
ARROW TERMINAL LLC,PUBLIC WORKS FLEET MAINTENANCE,CUSTOMER NUMBER 0301011,656835,2022-09-23T00:00:00Z,23.71
ARROW TERMINAL LLC,PUBLIC WORKS FLEET MAINTENANCE,CUSTOMER NUMBER 0301011,656835,2022-09-23T00:00:00Z,60.38
AMERICAN CLEANING SYSTEMS INC,PUBLIC WORKS FLEET MAINTENANCE,CAR WASH TOKENS AND SUPPLIES F,656831,2022-09-23T00:00:00Z,98.63
AMERICAN CLEANING SYSTEMS INC,PARKS & RECREATION,FOC ITEM #99,656831,2022-09-23T00:00:00Z,5103.24
STATE OF MISSOURI,FINANCE,TAX PAYMENT,656934,2022-09-23T00:00:00Z,29879.78
AJ'S AUTO AIR CONDITIONING,PUBLIC WORKS FLEET MAINTENANCE,REFERENCE REPAIR ORDER #48600,656828,2022-09-23T00:00:00Z,-335.42
ATKINS BUILDING SERVICES & PRODUCTS,PUBLIC WORKS,ACCOUNT #10238,656836,2022-09-23T00:00:00Z,24
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,3.16
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,6.48
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,51.99
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,150.76
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,66.49
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,18.19
ROTTLER PEST & LAWN SOLUTIONS,ELECTRIC PRODUCTION,Pest control services,14535,2022-09-23T00:00:00Z,100
O'REILLY AUTO PARTS,PUBLIC WORKS FLEET MAINTENANCE,PARTS FOR INVENTORY,14528,2022-09-23T00:00:00Z,152.78
O'REILLY AUTO PARTS,PUBLIC WORKS FLEET MAINTENANCE,PARTS FOR INVENTORY,14528,2022-09-23T00:00:00Z,1090.91
CON AGG OF MO LLC,PARKS & RECREATION,90/2021 AGGREGATE CONTRACT,656856,2022-09-23T00:00:00Z,46.31
CON AGG OF MO LLC,SEWER,"Rock, as needed",656856,2022-09-23T00:00:00Z,767.75
CON AGG OF MO LLC,SEWER,"Rock, as needed",656856,2022-09-23T00:00:00Z,4835.54
CON AGG OF MO LLC,SEWER,"Rock, as needed",656856,2022-09-23T00:00:00Z,1150.61
CON AGG OF MO LLC,STORM WATER,"Rock, as needed",656856,2022-09-23T00:00:00Z,330.42
MCKNIGHT TIRE COMPANY,PUBLIC WORKS FLEET MAINTENANCE,TIRES AND MISC PARTS FOR INVEN,656889,2022-09-23T00:00:00Z,815.8
MCKNIGHT TIRE COMPANY,PUBLIC WORKS FLEET MAINTENANCE,TIRES AND MISC PARTS FOR INVEN,656889,2022-09-23T00:00:00Z,624.92
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,PARTS FOR INVENTORY    SOURCEW,656864,2022-09-23T00:00:00Z,-64.2
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,23.05
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,271.78
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,152.13
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,29.6
ED MILLER AUTO SUPPLY INC,PUBLIC WORKS FLEET MAINTENANCE,BLANKET PO PARTS FOR INVENTORY,656864,2022-09-23T00:00:00Z,29.6
ROTTLER PEST & LAWN SOLUTIONS,SOLID WASTE,Monthly Pest Control Services,14535,2022-09-23T00:00:00Z,75
ROTTLER PEST & LAWN SOLUTIONS,SOLID WASTE,Monthly Pest Control Services,14535,2022-09-23T00:00:00Z,20
ROTTLER PEST & LAWN SOLUTIONS,SOLID WASTE,Monthly Pest Control Services,14535,2022-09-23T00:00:00Z,20
ROTTLER PEST & LAWN SOLUTIONS,SOLID WASTE,Monthly Pest Control Services,14535,2022-09-23T00:00:00Z,20
O'REILLY AUTO PARTS,PUBLIC WORKS FLEET MAINTENANCE,PARTS FOR INVENTORY,14528,2022-09-23T00:00:00Z,275.38
O'REILLY AUTO PARTS,PUBLIC WORKS FLEET MAINTENANCE,PARTS FOR INVENTORY,14528,2022-09-23T00:00:00Z,71.5
O'REILLY AUTO PARTS,PUBLIC WORKS FLEET MAINTENANCE,PARTS FOR INVENTORY,14528,2022-09-23T00:00:00Z,18.04
O'REILLY AUTO PARTS,PUBLIC WORKS FLEET MAINTENANCE,PARTS FOR INVENTORY,14528,2022-09-23T00:00:00Z,124.99
MCKNIGHT TIRE COMPANY,PUBLIC WORKS FLEET MAINTENANCE,TIRES AND MISC PARTS FOR INVEN,656889,2022-09-23T00:00:00Z,184.46
MCKNIGHT TIRE COMPANY,PUBLIC WORKS FLEET MAINTENANCE,TIRES AND MISC PARTS FOR INVEN,656889,2022-09-23T00:00:00Z,559.24
MCKNIGHT TIRE COMPANY,PUBLIC WORKS FLEET MAINTENANCE,TIRES AND MISC PARTS FOR INVEN,656889,2022-09-23T00:00:00Z,96.45
MCKNIGHT TIRE COMPANY,PUBLIC WORKS FLEET MAINTENANCE,TIRES AND MISC PARTS FOR INVEN,656889,2022-09-23T00:00:00Z,89.95
MISC: AP OTHER BBBBB,ELECTRIC ADMINISTRATION,HECL #22-3687,656905,2022-09-23T00:00:00Z,-27
MISC: AP OTHER EEEEE,ELECTRIC ADMINISTRATION,HECL #22-3688,656908,2022-09-23T00:00:00Z,-27
MISC: AP OTHER GGGGG,ELECTRIC ADMINISTRATION,HECL #22-3689,656910,2022-09-23T00:00:00Z,-27
MISC: AP OTHER TTTTT,ELECTRIC ADMINISTRATION,HECL #22-3690,656912,2022-09-23T00:00:00Z,-27
THE ENERGY AUTHORITY INC (TEA),ELECTRIC PRODUCTION,SEP22 SPP 9/7-13/22,14509,2022-09-23T00:00:00Z,234276.2
THE ENERGY AUTHORITY INC (TEA),ELECTRIC PRODUCTION,SEPT22 PWR 9/3-9/22,14509,2022-09-23T00:00:00Z,572568.42
AUGUSTA D COOPER,CULTURAL AFFAIRS,2022 Celebration of the Arts P,656837,2022-09-23T00:00:00Z,300
ARCHVIEW SERVICES LLC,FINANCE,Respirator System,656834,2022-09-23T00:00:00Z,13495
XUAN HONG THI TO,POLICE,Applications of emblems onto o,656941,2022-09-23T00:00:00Z,10
XUAN HONG THI TO,POLICE,Applications of emblems onto o,656941,2022-09-23T00:00:00Z,85
CARDINAL HEALTH,HEALTH AND HUMAN SERVICES,SHORT PAY PER CM 7183381498,656851,2022-09-23T00:00:00Z,155.2
"FIRST-AID NOW, LLC",WATER TRANS & DISTRIB,First Aid Supplies,656873,2022-09-23T00:00:00Z,179.2
"FIRST-AID NOW, LLC",WATER TRANS & DISTRIB,First Aid Supplies,656873,2022-09-23T00:00:00Z,104.99
CENTRAL CONCRETE COMPANY,PUBLIC WORKS,READY MIX CONCRETE,656852,2022-09-23T00:00:00Z,1136
CENTRAL CONCRETE COMPANY,PUBLIC WORKS,READY MIX CONCRETE,656852,2022-09-23T00:00:00Z,1452
CENTRAL CONCRETE COMPANY,PUBLIC WORKS,READY MIX CONCRETE,656852,2022-09-23T00:00:00Z,2014.5
CENTRAL CONCRETE COMPANY,PUBLIC WORKS,READY MIX CONCRETE,656852,2022-09-23T00:00:00Z,1136
CENTRAL CONCRETE COMPANY,PUBLIC WORKS,READY MIX CONCRETE,656852,2022-09-23T00:00:00Z,1738
CENTRAL CONCRETE COMPANY,PUBLIC WORKS,READY MIX CONCRETE,656852,2022-09-23T00:00:00Z,1716
BRIDGEPAY NETWORK SOLUTIONS LLC,COMMUNITY DEVELOPMENT,Online transaction fees for En,656847,2022-09-23T00:00:00Z,55.4
ENGINEERING SURVEYS & SERVICES LLC,CAPITAL PROJECT,SOIL  TESTING,14517,2022-09-23T00:00:00Z,959.5
FOCUSED TRAINING AND TECHNICAL SERVICES LLC,ELECTRIC PRODUCTION,Qualification training program,656874,2022-09-23T00:00:00Z,200
GREGORY NEWBY,CONVENTION & TOURISM,janitorial services for Walton,14519,2022-09-23T00:00:00Z,600
CAPITAL MATERIALS LLC,PUBLIC WORKS,BLANKET ORDER REQUST FOR ASP,656850,2022-09-23T00:00:00Z,155.21
CAPITAL MATERIALS LLC,PUBLIC WORKS,BLANKET ORDER REQUST FOR ASP,656850,2022-09-23T00:00:00Z,81.47
DIGGIT LLC,PARKS & RECREATION,Parks & Rec Shirts,656863,2022-09-23T00:00:00Z,2957.76
DIGGIT LLC,POLICE,Contracted screenprinting/Embr,656863,2022-09-23T00:00:00Z,54.38
F & F INDUSTRIAL EQUIPMENT INC,ELECTRIC TRANS & DISTRIB,"Medium Clear PVC Cement, Quart",656867,2022-09-23T00:00:00Z,850.8
CINTAS CORPORATION NO 2,PUBLIC WORKS FLEET MAINTENANCE,UNIFORMS FOR FLEET OPS,656854,2022-09-23T00:00:00Z,76.05
CINTAS CORPORATION NO 2,PUBLIC WORKS FLEET MAINTENANCE,UNIFORMS FOR FLEET OPS,656854,2022-09-23T00:00:00Z,18
CINTAS CORPORATION NO 2,PUBLIC WORKS FLEET MAINTENANCE,UNIFORMS FOR FLEET OPS,656854,2022-09-23T00:00:00Z,80.59
CINTAS CORPORATION NO 2,PUBLIC WORKS FLEET MAINTENANCE,UNIFORMS FOR FLEET OPS,656854,2022-09-23T00:00:00Z,18.01
GEOSYNTEC CONSULTANTS INC,ELECTRIC PRODUCTION,NDPES Operating Permit,656875,2022-09-23T00:00:00Z,1128.11
GEOSYNTEC CONSULTANTS INC,SEWER,CWWTP Local Limits Technical R,656875,2022-09-23T00:00:00Z,1368.5
EJ EQUIPMENT INC,SEWER,"TV Truck parts, repairs, as ne",656865,2022-09-23T00:00:00Z,2032.87
HAWKINS INC,WATER PRODUCTION,Chemicals for WTP,656879,2022-09-23T00:00:00Z,9332.4
HAWKINS INC,PARKS & RECREATION,ONE TIME PO,656879,2022-09-23T00:00:00Z,512.92
HAWKINS INC,PARKS & RECREATION,ONE TIME PO,656879,2022-09-23T00:00:00Z,998.05
BATTERY OUTFITTERS,PARKS & RECREATION,SMALL DOLLAR PURCHASE,656839,2022-09-23T00:00:00Z,246.96
